season,week,team_name_raw,team_abbr_raw,team_name_std,team_abbr_std,attendance
2024,13,New Orleans Saints,NO,New Orleans Saints,NO,70006
2024,14,New Orleans Saints,NO,New Orleans Saints,NO,76143
2024,15,New Orleans Saints,NO,New Orleans Saints,NO,70003
2024,16,New Orleans Saints,NO,New Orleans Saints,NO,77885
2024,17,New Orleans Saints,NO,New Orleans Saints,NO,70031
2024,18,New Orleans Saints,NO,New Orleans Saints,NO,63001
2024,1,New York Giants,NYG,New York Giants,NYG,81908
2024,2,New York Giants,NYG,New York Giants,NYG,61841
2024,3,New York Giants,NYG,New York Giants,NYG,68016
2024,4,New York Giants,NYG,New York Giants,NYG,80425
2024,5,New York Giants,NYG,New York Giants,NYG,68306
2024,6,New York Giants,NYG,New York Giants,NYG,78809
2024,7,New York Giants,NYG,New York Giants,NYG,82779
2024,8,New York Giants,NYG,New York Giants,NYG,66637
2024,9,New York Giants,NYG,New York Giants,NYG,77994
2024,10,New York Giants,NYG,New York Giants,NYG,70132
2024,12,New York Giants,NYG,New York Giants,NYG,77554
2024,13,New York Giants,NYG,New York Giants,NYG,92196
2024,14,New York Giants,NYG,New York Giants,NYG,76143
2024,15,New York Giants,NYG,New York Giants,NYG,77455
2024,16,New York Giants,NYG,New York Giants,NYG,70404
2024,17,New York Giants,NYG,New York Giants,NYG,73164
2024,18,New York Giants,NYG,New York Giants,NYG,69879
2024,1,New York Jets,NYJ,New York Jets,NYJ,71319
2024,2,New York Jets,NYJ,New York Jets,NYJ,65509
2024,3,New York Jets,NYJ,New York Jets,NYJ,80812
2024,4,New York Jets,NYJ,New York Jets,NYJ,82243
2024,5,New York Jets,NYJ,New York Jets,NYJ,61139
2024,6,New York Jets,NYJ,New York Jets,NYJ,81118
2024,7,New York Jets,NYJ,New York Jets,NYJ,66956
2024,8,New York Jets,NYJ,New York Jets,NYJ,64628
2024,9,New York Jets,NYJ,New York Jets,NYJ,79818
2024,10,New York Jets,NYJ,New York Jets,NYJ,64030
2024,11,New York Jets,NYJ,New York Jets,NYJ,80582
2024,13,New York Jets,NYJ,New York Jets,NYJ,81084
2024,14,New York Jets,NYJ,New York Jets,NYJ,65787
2024,15,New York Jets,NYJ,New York Jets,NYJ,63251
2024,16,New York Jets,NYJ,New York Jets,NYJ,76871
2024,17,New York Jets,NYJ,New York Jets,NYJ,70728
2024,18,New York Jets,NYJ,New York Jets,NYJ,68818
2024,1,Philadelphia Eagles,PHI,Philadelphia Eagles,PHI,47236
2024,2,Philadelphia Eagles,PHI,Philadelphia Eagles,PHI,69879
2024,3,Philadelphia Eagles,PHI,Philadelphia Eagles,PHI,70006
2024,4,Philadelphia Eagles,PHI,Philadelphia Eagles,PHI,64223
2024,6,Philadelphia Eagles,PHI,Philadelphia Eagles,PHI,69879
2024,7,Philadelphia Eagles,PHI,Philadelphia Eagles,PHI,82779
2024,8,Philadelphia Eagles,PHI,Philadelphia Eagles,PHI,67239
2024,9,Philadelphia Eagles,PHI,Philadelphia Eagles,PHI,69879
2024,10,Philadelphia Eagles,PHI,Philadelphia Eagles,PHI,93644
2024,11,Philadelphia Eagles,PHI,Philadelphia Eagles,PHI,69879
2024,12,Philadelphia Eagles,PHI,Philadelphia Eagles,PHI,74400
2024,13,Philadelphia Eagles,PHI,Philadelphia Eagles,PHI,71344
2024,14,Philadelphia Eagles,PHI,Philadelphia Eagles,PHI,69879
2024,15,Philadelphia Eagles,PHI,Philadelphia Eagles,PHI,69879
2024,16,Philadelphia Eagles,PHI,Philadelphia Eagles,PHI,64128
2024,17,Philadelphia Eagles,PHI,Philadelphia Eagles,PHI,69879
2024,18,Philadelphia Eagles,PHI,Philadelphia Eagles,PHI,69879
2024,1,Pittsburgh Steelers,PIT,Pittsburgh Steelers,PIT,72291
2024,2,Pittsburgh Steelers,PIT,Pittsburgh Steelers,PIT,74215
2024,3,Pittsburgh Steelers,PIT,Pittsburgh Steelers,PIT,66734
2024,4,Pittsburgh Steelers,PIT,Pittsburgh Steelers,PIT,66376
2024,5,Pittsburgh Steelers,PIT,Pittsburgh Steelers,PIT,67380
2024,6,Pittsburgh Steelers,PIT,Pittsburgh Steelers,PIT,62553
2024,7,Pittsburgh Steelers,PIT,Pittsburgh Steelers,PIT,66956
2024,8,Pittsburgh Steelers,PIT,Pittsburgh Steelers,PIT,66637
2024,10,Pittsburgh Steelers,PIT,Pittsburgh Steelers,PIT,66192
2024,11,Pittsburgh Steelers,PIT,Pittsburgh Steelers,PIT,67551
2024,12,Pittsburgh Steelers,PIT,Pittsburgh Steelers,PIT,67431
2024,13,Pittsburgh Steelers,PIT,Pittsburgh Steelers,PIT,66112
2024,14,Pittsburgh Steelers,PIT,Pittsburgh Steelers,PIT,66845
2024,15,Pittsburgh Steelers,PIT,Pittsburgh Steelers,PIT,69879
2024,16,Pittsburgh Steelers,PIT,Pittsburgh Steelers,PIT,71313
2024,17,Pittsburgh Steelers,PIT,Pittsburgh Steelers,PIT,67311
2024,18,Pittsburgh Steelers,PIT,Pittsburgh Steelers,PIT,65631
2024,1,Seattle Seahawks,SEA,Seattle Seahawks,SEA,68714
2024,2,Seattle Seahawks,SEA,Seattle Seahawks,SEA,64686
2024,3,Seattle Seahawks,SEA,Seattle Seahawks,SEA,68658
2024,4,Seattle Seahawks,SEA,Seattle Seahawks,SEA,66658
2024,5,Seattle Seahawks,SEA,Seattle Seahawks,SEA,68306
2024,6,Seattle Seahawks,SEA,Seattle Seahawks,SEA,68768
2024,7,Seattle Seahawks,SEA,Seattle Seahawks,SEA,70691
2024,8,Seattle Seahawks,SEA,Seattle Seahawks,SEA,68704
2024,9,Seattle Seahawks,SEA,Seattle Seahawks,SEA,68632
2024,11,Seattle Seahawks,SEA,Seattle Seahawks,SEA,71751
2024,12,Seattle Seahawks,SEA,Seattle Seahawks,SEA,68649
2024,13,Seattle Seahawks,SEA,Seattle Seahawks,SEA,81084
2024,14,Seattle Seahawks,SEA,Seattle Seahawks,SEA,64533
2024,15,Seattle Seahawks,SEA,Seattle Seahawks,SEA,68766
2024,16,Seattle Seahawks,SEA,Seattle Seahawks,SEA,68748
2024,17,Seattle Seahawks,SEA,Seattle Seahawks,SEA,56346
2024,18,Seattle Seahawks,SEA,Seattle Seahawks,SEA,72610
2024,1,San Francisco 49ers,SF,San Francisco 49ers,SF,71319
2024,2,San Francisco 49ers,SF,San Francisco 49ers,SF,66741
2024,4,San Francisco 49ers,SF,San Francisco 49ers,SF,71042
2024,5,San Francisco 49ers,SF,San Francisco 49ers,SF,71310
2024,6,San Francisco 49ers,SF,San Francisco 49ers,SF,68768
2024,7,San Francisco 49ers,SF,San Francisco 49ers,SF,71309
2024,8,San Francisco 49ers,SF,San Francisco 49ers,SF,71521
2024,10,San Francisco 49ers,SF,San Francisco 49ers,SF,64914
2024,11,San Francisco 49ers,SF,San Francisco 49ers,SF,71751
2024,12,San Francisco 49ers,SF,San Francisco 49ers,SF,78222
2024,13,San Francisco 49ers,SF,San Francisco 49ers,SF,70437
2024,14,San Francisco 49ers,SF,San Francisco 49ers,SF,71662
2024,15,San Francisco 49ers,SF,San Francisco 49ers,SF,71201
2024,16,San Francisco 49ers,SF,San Francisco 49ers,SF,66341
2024,17,San Francisco 49ers,SF,San Francisco 49ers,SF,71688
2024,18,San Francisco 49ers,SF,San Francisco 49ers,SF,63849
2024,1,Tampa Bay Buccaneers,TB,Tampa Bay Buccaneers,TB,63020
2024,2,Tampa Bay Buccaneers,TB,Tampa Bay Buccaneers,TB,64160
2024,3,Tampa Bay Buccaneers,TB,Tampa Bay Buccaneers,TB,62738
2024,4,Tampa Bay Buccaneers,TB,Tampa Bay Buccaneers,TB,64223
2024,5,Tampa Bay Buccaneers,TB,Tampa Bay Buccaneers,TB,70016
2024,6,Tampa Bay Buccaneers,TB,Tampa Bay Buccaneers,TB,70041
2024,7,Tampa Bay Buccaneers,TB,Tampa Bay Buccaneers,TB,64828
2024,8,Tampa Bay Buccaneers,TB,Tampa Bay Buccaneers,TB,62787
2024,9,Tampa Bay Buccaneers,TB,Tampa Bay Buccaneers,TB,73574
2024,10,Tampa Bay Buccaneers,TB,Tampa Bay Buccaneers,TB,64914
